Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Halsua,36,29430,532.977,4.18,52.73,18.05,6.24,7.64,28.76,0.58,81.042,1019.35,11.5,8.085,5.34,46,41.26,1871,76,148.5152225,144,24.25217568,63.43534619
Hankasalmi,37,55291,546.262,23.86,68.19,6.75,1.94,1.41,4.8,1.65,83.17,1199,8.5,7.145,13.52,173,140.48,7847,129,122.4861639,121,26.43002254,62.38817132
Harjavalta,38,8842,552.05,0,29.24,6.26,21.69,30.65,11.08,0.73,65.04,1207.77,22.8,36.138,18.51,103,124.03,3620,35,43.14761905,43,22.13660404,61.31773918
Harlu,39,80663,611.284,1.94,48.45,4.68,31.31,5.96,0.01,11.11,75.991,1129.36,13,11.571,30.94,37,188.17,7828,154,57.994003,57,30.90032984,61.77752389
Hartola,40,74390,547.024,27.71,53.83,10.37,4.22,4.82,2.71,7.18,85.12,1204.32,8.1,7.861,11.82,111,147.59,5797,112,115.5917065,114,26.04692143,61.60231594
Hattula,41,28861,555.749,13.02,41.75,9.82,16.29,13.86,13.27,0.59,71.531,1205.76,18.1,18.538,20.45,90,157.02,5029,90,120.3375576,125,24.2558117,61.0030035
Hauho,43,33650,540.306,29.03,28.8,7.71,15.94,9.12,7.85,10.58,64.939,1206.79,22,20.4,20.89,95,150.87,5520,74,105.8009828,100,24.54146359,61.20501016
Haukipudas,44,43510,497.581,1.36,49.3,18.28,0.09,33.11,14.38,2.3,65.024,1043.79,3.1,3.886,21.87,241,231.29,10883,101,41.0962406,38,25.58303134,65.18427246
Hausjärvi,45,51855,652.561,2.97,18.63,15.74,40.06,19.14,9.77,9.81,64.793,1229.72,19.3,23.204,26.53,72,159.76,8125,92,103.980042,101,24.9569423,60.78300681
Haukivuori,46,38923,550.364,30.76,50.82,8.79,0,1.4,17.99,0.69,75.313,1203.37,10,7.499,19.5,106,137.06,4422,61,111.8751014,113,27.13329248,62.05667079
Heinjoki,47,31000,647.849,2.66,46.63,4.75,10.97,28.59,10.39,0,72.481,1251.95,9.3,8.693,19.35,918,179.93,3712,65,32.68193069,32,29.18072534,60.69856803
Heinola,48,57778,538.482,25.22,33.86,7.29,2.49,7.11,1.41,30.89,78.459,1212.87,6.4,8.492,24.45,219,167.06,8891,85,106.3968891,105,26.12670038,61.25833543
Heinävesi,49,108952,594.444,30.67,57.5,7.3,0,1.43,0.9,11.58,84.845,1196.48,2.8,4.497,13.42,281,153.3,8932,150,114.1237439,115,28.72215333,62.42323208
Hiitola,53,46380,566.89,0,9.94,9.86,55.84,6.51,4.78,20.73,67.344,1263.16,14.4,12.481,15.73,10111,133.4,8265,97,36.02826855,36,29.68850443,61.23601082
Himanka,54,22795,503.667,0.52,64.49,26.63,2.59,14.45,14.95,3.53,65.033,1048.6,7.3,8.23,14.71,150,99.5,3389,82,33.38544892,35,23.78190318,64.06440316
Hinnerjoki,55,10807,619.849,4.02,34.57,18.85,7.46,2.47,23.69,28.07,65.007,1235.7,13.9,16.799,13.58,121,89.96,1679,47,47.6130137,48,21.99164511,60.96805039
Hirvensalmi,56,45307,549.801,49.5,44.39,1.98,0,1.02,1.51,4.8,83.655,1209.16,8.3,7.567,11.64,207,100.84,5868,85,107.9502188,104,26.71927812,61.69533785
Hämeenkyrö,57,48657,621.999,9.74,22.46,12.37,39.84,6.71,10.21,12.08,72.593,1200.49,14.8,17.282,19.92,99,104.51,8375,125,109.1133858,109,23.17583238,61.62247607
Hollola,58,51894,595.736,15.05,19.87,9.76,32.65,18.39,3.94,10.39,64.533,1205.76,19.1,18.329,41.17,107,315.54,6419,154,114.4718586,111,25.50391874,61.00396697
Hongonjoki,59,30745,605.017,0,44.41,19.16,17.66,8.85,25.63,3.45,72.121,1120.63,8.6,11.437,6.57,111,64.01,3678,73,108.7701564,107,22.22807425,62.01354459
Honkilahti,60,11764,617.96,23.01,36.24,12.42,6.52,0.58,15.07,20.18,65.145,1231.08,10.4,13.357,12.26,1,81.87,1725,57,51.54696133,52,22.16393116,60.97140431
Huittinen,61,49261,593.058,0,30.92,21.21,40.39,6.12,13.53,6.88,57.514,1207.35,26.9,33.856,16.76,64,132.7,9007,77,71.39149888,70,22.74204349,61.16740674
Humppila,62,13800,600.513,0.54,29.97,14.01,45.51,8.53,8.27,7.19,54.964,1195.97,23,36.541,17.3,92,146.61,2908,72,119.9460227,120,23.35201751,60.94440594
Hyrynsalmi,63,144100,597.801,7.58,55.69,14.82,0,6,26.78,4.93,81.909,922.46,0.5,2.008,11.4,307,115.64,3758,229,201.4051745,197,28.69498429,64.65254523
Hyvinkää,64,51855,702.222,4.99,25.48,18.64,26.53,14.65,13.86,14.85,65.23,1253.11,19.3,16.895,37.66,52,220.47,10591,75,100.4045802,99,24.81692572,60.60978932
Ii,65,146570,487.963,0.71,46.5,11.11,0,19.73,21.22,8.58,69.131,1034.7,1.2,2.183,19.09,184,160.48,4888,110,49.28922816,46,25.57927522,65.41699737
Iisalmi,66,298537,542.14,17.71,60.95,7.82,13.85,2.94,4.18,1.28,79.274,1088.98,2.6,4.212,23.55,105,220.84,16279,177,124.8413398,122,27.15499346,63.52782111
Iitti,67,68844,559.798,18.34,21.3,7.67,24.61,8.39,3.68,23.21,64.696,1238.15,13.6,17.616,19.24,78,151.48,8256,120,82.26629766,83,26.27543672,60.93681556
Ikaalinen,68,84607,638.881,13.4,37.53,11.78,17.68,6.34,9.61,16.93,68.693,1189.66,8.3,11.857,11.02,126,99.16,10006,113,129.2725255,131,23.11320787,61.8319646
Ilmajoki,69,61460,550.668,0.23,38.46,17.55,33.07,2.68,17.2,8.58,64.898,1103.33,28,25.917,12.74,63,117,12564,132,78.9029304,81,22.59421187,62.72093359
