,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,74,75,76,77,78,79,80,81,82,83,84,85,86,87,90,91,92,93,94,97,98,99,101,102,104,106,107,108,109,111,112,113,114,115,116,117,118,120,121,122,123,124,125,126,127,128,129,131,132,133,134,135,136,137,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,167,168,169,171,172,174,176,177,178,179,180,181,182,183,184,185,186,187,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,216,217,218,219,222,223,224,225,226,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,246,247,249,250,251,252,253,254,255,256,257,259,261,262,263,264,265,266,267,268,269,270,271,272,273,275,277,279,280,281,282,283,284,285,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,303,304,305,306,307,309,310,311,312,313,315,316,317,318,319,320,321,322,323,325,326,327,328,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,373,374,375,376,377,378,379,380,381,383,384,385,386,387,388,389,390,391,392,393,394,395,398,399,400,401,402,403,404,406,407,408,410,411,412,413,414,416,417,418,419,420,421,422,423,424,425,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,444,445,446,447,448,449,450,452,453,454,455,456,457,458,459,461,462,463,467,468,469,470,471,472,474,475,476,478,479,480,482,483,484,486,487,488,489,490,493,494,496,497,498,499,500,501,502,503,504,505,506,507,508,510,511,512,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,532,533,534,535,536,537,539
1,,186320,121309,186088,132523,170437,299685,411952,319914,259926,216573,123396,250013,104491,489315,126181,241969,309100,146267,281209,460655,386035,754137,157276,66041,54456,211525,144212,299026,334627,402553,162598,238101,264146,48904,490790,233162,163319,167671,431837,208499,296347,418080,241710,376024,436157,285616,78021,273881,84356,223473,49298,83484,80015,126041,481277,210654,446592,354658,267786,77382,127759,497304,503217,51485,151256,455494,269065,109526,183602,200373,436160,401727,140094,330541,238733,373557,379255,114118,430452,150914,330368,225507,60147,189537,314141,393920,147615,384544,420006,149918,96017,310011,150633,132911,446282,237604,354947,267205,273812,43218,69614,124522,80468,196917,212634,309352,102926,164247,500455,71592,175360,87861,441801,234904,60429,72041,296036,475755,628082,409923,404369,379785,433310,174468,101489,459324,171692,73516,56924,436827,255495,413677,185970,450179,683978,57836,337250,461903,240290,73185,136437,404828,61625,637886,249827,267001,444497,197380,211535,494185,202889,190650,140729,158162,484441,188983,472227,37763,422395,341374,159540,170484,112690,442296,113068,127246,604202,155389,403253,125592,312539,215538,461154,260294,215687,331959,72817,146121,89113,193450,273454,351787,200145,357932,65151,162116,64169,241464,52583,175547,239085,337995,120984,126119,334702,258185,138135,269373,396686,415860,206959,278433,120027,111474,186101,216234,394428,445959,165621,329921,34979,163013,336702,132903,140198,126854,122449,325407,21192,134650,116622,116252,495363,345433,118536,299070,75633,419397,186023,444323,706821,217988,173646,372304,113430,253770,281272,230404,137105,39570,245388,373799,302719,438377,145519,103474,16314,121753,377914,189426,219318,184711,241817,108230,145419,330877,416124,410343,418397,127539,372783,198597,148147,437601,418604,83400,366960,667978,224311,259427,183703,124182,163058,198232,469757,298945,317348,158310,277819,148203,355630,109404,422508,20593,23821,242287,261346,588549,489982,242060,360360,410418,100724,467266,216962,185316,348765,338855,82564,315380,81652,444620,296992,189914,470051,360789,199127,478908,146965,119068,363636,136190,353703,375195,531558,402234,290759,61155,299253,481381,398566,274327,167750,377643,365776,457219,300441,572318,386575,290592,134097,473233,131453,146200,443392,425108,221099,426300,146421,474449,667058,543766,360418,193398,160460,699843,401946,328487,139733,289131,24772,382894,349267,475714,409347,307446,495766,681740,189519,155389,168037,374453,477872,439549,501039,356537,255596,63946,565626,179663,313058,89647,305371,511549,216313,370383,79451,404220,189427,395847,142490,383394,544612,349094,125058,150267,135848,230172,118320,382392,472421,302406,514600,90268,460973,269923,239416,97218,114948,140204,581967,182684,378906,478276,232678,398929,156798,79203,156479,254629,29360,122982,166086,412082,443210,219510,440055,124675,378769,459448,430607,91197,174288,366822,320908,111416,354437,135272,285882,114362,229903,358460,356212,203003,126545,394884,270033,88383,156569,200921,349989,129436,311179,290208,390549,449446,431424,155515,475341,166598,174473,461832,436593,356555,98881,105070,132190,148235,526463,305234,162106,440448,237699,169881,199484,235932,281517,532637,496577,136710
2,186320,,196263,53779,236987,329055,351571,417433,308330,324325,268897,302249,335441,255145,304715,290150,55711,124764,82107,338337,371945,334912,574534,206253,238252,236333,33584,273333,134844,159312,216359,317238,69294,205307,218416,443489,245823,256771,247309,246357,296614,260877,431319,280575,307268,423404,99320,254313,269621,180259,287309,142883,257046,230708,260283,318679,309564,260788,218740,318344,164515,59027,413621,459435,134836,39583,424255,307889,83550,275115,21258,356269,429931,274279,279727,236596,377212,274757,76941,320205,181545,297133,184237,158868,194823,251742,394317,317653,285073,263156,322939,279241,123841,249083,208076,472164,123851,294944,238467,89145,162545,120677,283363,200652,337962,105900,210972,277726,331645,316423,124612,18745,98476,434411,53716,213146,217475,174833,289916,442514,226070,360547,208015,387569,144486,116701,384235,312666,214100,200993,252799,106045,410772,333331,393368,500109,230621,191912,483583,111380,255503,259997,439997,223430,456622,157146,188073,357760,14950,194188,423715,274248,173901,289557,212798,342366,222090,285929,200671,453071,244731,58605,183634,73677,422856,158413,311604,426672,304378,317674,236962,370071,88078,451287,73983,292743,164708,239134,52625,270848,265644,340540,227096,37736,368833,244785,30390,130660,182171,184203,72045,223136,353780,219706,302844,263632,94375,306095,341866,213044,340259,339284,92130,267125,295286,293947,217067,209782,422334,229132,357030,219518,197479,223291,303082,296985,301651,275142,140765,169773,313276,200122,257640,500529,382050,296456,285424,192669,241725,135146,460088,526622,190059,323783,270042,290041,326692,290800,317722,313254,213743,302131,260821,128239,315008,45720,199236,191338,296089,389075,323254,326705,24956,310728,266396,190815,148933,233299,225992,233929,296853,189674,245407,311168,276531,391206,137264,181097,481927,78425,269600,339401,76348,312552,161812,358455,243169,195797,124093,136177,315089,185027,201985,330825,178310,204565,334663,349762,406696,309064,322323,186771,373729,237511,295692,31292,314509,334798,152875,267936,161822,266421,372343,362524,310638,468219,195910,117222,421957,225311,281934,177583,310000,307360,196013,346369,390555,211962,246035,115035,489560,272682,110673,271455,192744,269292,296823,298540,386055,377942,356083,153873,421888,304266,323664,442283,360053,134704,390663,210933,478050,483146,507283,174419,330448,324075,514132,345060,338811,50101,110043,161700,197128,242041,289399,389517,352735,438176,495513,79501,293461,301612,236090,435804,290545,448070,325780,174060,188398,495712,321597,319315,201482,225821,347512,242046,401844,245851,234505,350002,283098,237868,344423,367056,356237,307160,275438,296593,46598,181824,203634,499360,198964,328792,102549,397422,90595,208132,207854,199220,312327,399266,258169,288725,402728,336007,216838,245168,212387,83021,72572,207162,243873,319574,231371,401745,154596,468947,295185,399144,471780,299986,246551,267445,244490,372061,293022,265953,316559,182700,219470,53168,212688,172965,324363,232170,412220,151896,173038,160387,48783,390357,121180,265598,329504,229333,457182,435429,44339,412120,32561,11847,276833,254677,382416,265124,191444,272935,38420,344205,123353,98888,451145,161911,264123,296605,337669,325491,446859,426324,228292
3,121309,196263,,162417,42235,148785,183916,290824,199917,146848,97498,154352,146840,85945,487825,122864,241634,292436,117284,166413,354749,271383,762684,36595,105099,121788,203933,82566,256268,298984,388114,135363,213574,162977,96989,372752,112922,61301,55717,410718,105017,182438,297501,121237,267099,314989,280937,118616,154329,37412,108287,98600,115391,76195,75295,419196,115176,426695,281297,150532,50078,148732,388336,384439,119505,180774,335606,149352,120688,81138,216937,328073,282869,86000,218689,120906,252260,285047,161384,335459,40775,213816,124749,69153,77095,207665,272615,151544,287477,356457,160034,149410,301363,52825,13831,327592,174285,244394,153935,262346,84218,141462,112344,45916,146036,155565,219873,129552,159776,500718,95293,178221,132603,320499,223993,77256,69000,221953,468533,601148,383809,287438,334966,316042,90099,82218,348775,122703,63967,70901,409766,210391,292367,144750,334888,681999,103624,272814,342717,185804,132145,68856,287320,87831,643706,169690,175015,338527,199234,103232,381267,89486,88938,107978,36856,405130,68292,456853,91053,304256,246908,141513,60781,142592,321446,37863,177192,556174,120247,298915,45017,198956,170442,339860,258642,105992,287256,97157,186373,139600,79725,162042,271527,186315,236781,120473,165908,147230,145453,68902,141733,125095,216958,26577,150569,229626,223728,139707,160169,370776,307195,144556,276502,89979,162714,97773,100109,371817,325400,45990,209821,122677,45638,251638,140330,120558,146275,100502,308034,130928,162259,7798,78928,374605,227157,148172,180017,47239,379744,108031,324210,714433,112846,137830,277584,141078,144073,160126,127516,157466,102880,128953,284477,270246,349898,152157,20751,107412,141410,256894,129633,131148,209616,129710,100315,29143,306275,386830,385769,393766,134473,347119,77747,138000,376671,298723,68992,351657,643936,187513,138591,155567,121399,127577,104528,373171,191554,239808,90805,221251,145502,311798,16475,319550,101244,111981,143231,160448,549687,452499,135552,319672,292009,64131,416010,225169,120035,228453,326301,150885,260608,146896,333706,185845,114744,348838,310226,133441,362982,31916,115749,349947,151005,239229,341347,505121,281177,194334,135491,283357,360786,314430,235909,75235,357036,268848,394376,179817,558138,265461,179198,49342,356243,145058,168138,322139,312745,147302,307416,25395,353493,632113,423675,346504,137478,149254,672453,288180,207197,149528,264867,115258,365991,259335,462420,288798,190157,379645,666267,148623,104248,109425,300597,359166,368068,383877,238473,167638,58095,451128,131265,191801,36752,207162,449419,95276,251607,99785,354874,168906,304524,41606,266082,498578,227802,165998,82690,124135,223902,14579,347236,354200,216757,506581,153659,347065,249194,130981,33683,8696,150238,584820,69722,278072,367269,141423,368975,50146,56314,121245,240828,107724,55194,136487,378339,324961,133531,321815,134906,258531,339092,346958,86690,72598,283490,205569,154177,254858,171010,203089,30470,215196,291690,332205,128296,38751,274491,199706,36323,61524,179890,232600,77307,199132,171156,333453,328636,310310,191788,360979,196398,186869,437111,403945,236700,109202,16271,89138,170517,531298,283401,112721,319812,151601,68860,102156,143501,163155,423396,383541,32030
4,186088,53779,162417,,204591,305532,302788,363999,254826,278103,223017,289460,292483,233564,325743,270661,81028,131783,46685,290596,323981,282016,600288,164810,225908,228932,43479,243873,113093,149201,228033,292817,54102,151643,207203,391008,195343,219834,208132,253379,255878,207099,378147,232112,255612,369625,118552,242544,216914,155691,242463,137407,243777,211761,233333,297215,270434,268981,181293,270238,142520,69179,365222,406780,137426,75110,370804,258525,77022,236372,72910,306662,377663,246151,226376,184850,323888,228524,99153,276241,139572,243371,130942,143255,146288,198786,340797,299405,237916,237454,305952,270709,139167,213985,172342,419471,73891,242322,184909,100118,152329,132389,262357,177932,308158,53048,161761,263759,311606,338505,115542,38609,105584,380652,61640,197329,198809,130196,307242,448007,228652,307387,193697,334675,95400,94135,334235,284055,194576,184913,255407,71600,357117,305703,341360,520486,219245,158275,430597,65579,247275,230155,388188,208941,481343,104991,135329,309276,46769,142582,373447,231463,123732,264743,171775,309744,175971,297674,190172,400814,196110,26652,137656,83213,369115,125636,303267,418254,278725,268452,206303,321641,39010,397508,96952,250029,145962,224419,90287,261426,223554,294239,185509,25091,315920,235451,39919,144044,128394,168808,21961,170572,301317,188059,288713,211605,72130,287424,296402,215355,289848,306905,114398,243388,286782,257682,166436,214729,368660,188225,305425,215185,154074,178055,285560,274406,286493,252582,147875,174218,299919,167747,232993,446881,330988,283313,232009,170845,233911,83574,406908,552045,137572,297504,223193,276417,281798,238759,275824,298364,204828,255487,216451,117576,274823,48749,170207,186499,280941,336032,292027,288647,78065,265741,246357,150738,149207,233550,229816,237932,279244,191259,199974,290180,253727,337551,117112,191442,489482,39429,218090,314362,61907,286621,109909,315324,189732,152130,78245,98433,295526,169542,171608,282873,172858,199433,293081,306876,404045,305363,278895,174417,320305,213626,281266,71331,282445,281111,165029,262324,132289,260021,321846,315399,276563,414491,175293,63586,370163,188057,262518,189240,293954,253999,190636,351182,336797,159776,240599,122319,436008,232592,88257,235720,198854,221196,273720,245570,399186,324246,309111,114996,369601,287959,309186,388603,308580,81143,337264,172315,424405,483977,454353,185819,299799,302732,519856,292673,286139,54294,106766,161810,206478,195702,302613,335748,303101,386550,508234,25771,265107,271472,200142,382930,260666,396075,272042,121198,169747,445880,292818,266599,176312,174035,327204,193455,350080,230528,218260,326394,239141,203171,290959,358737,303216,296623,244754,275488,62386,147920,197562,446599,150418,345651,120215,346117,89048,154883,181166,167205,295318,422559,217255,239817,352969,296656,215914,208111,191058,41175,78629,200496,214909,294637,227920,348674,100861,416465,278208,346573,418413,262101,227307,229603,202562,322768,282570,216318,305032,133482,189475,52798,179800,175258,289758,200626,359367,105096,147337,115937,17566,339557,85271,211956,279652,206207,403697,381889,86067,360895,78786,53243,281748,252995,330397,248169,161510,246808,65108,368893,124534,52406,397784,108362,226773,257767,297908,276308,399114,376050,193777
5,132523,236987,42235,204591,,109535,168059,286757,207716,127723,90254,127677,118533,58991,530059,90814,283482,334646,159182,149339,376250,286550,804877,58784,93814,114491,245864,41175,297379,340386,430259,95941,255790,191859,94071,381923,123970,30801,38499,452606,76387,200803,290620,117263,287762,315837,323072,102697,164956,62593,92695,124690,97325,62984,38529,456317,81370,468608,317246,137449,79363,186884,407224,392187,145630,218956,341374,141747,158613,51260,257377,348362,271536,45778,237978,137067,250662,313995,195959,363290,76347,227865,155853,94943,104498,231625,271064,117651,315051,393749,126882,130628,343587,18119,34835,315720,214133,264200,174224,304565,105545,169472,79555,53272,103821,196580,252115,105803,123199,542947,127516,219231,165659,319427,266127,75219,63554,258737,510746,642341,425506,299388,375310,327074,129322,121116,366816,80882,60416,75666,451338,251718,290995,103053,348329,724216,95786,310811,331788,226563,118881,27888,273534,81179,685913,206304,207649,360191,240617,131293,396765,71815,122334,69988,53579,438077,82579,498896,96012,291464,276484,183279,92866,179075,324139,79366,153530,595105,80456,322245,8838,180196,212195,338870,300622,83256,327940,83690,223161,121713,63017,140961,305770,228361,233517,109301,206597,172993,177663,82836,183966,146288,213157,17385,122467,253914,265622,106533,136887,412519,327351,102639,318552,56627,141192,59829,120666,413719,329237,48050,202206,122235,72907,284733,108698,84238,117285,67163,350216,147321,133617,37066,46585,367973,215049,121983,190788,60188,420399,147569,315640,756630,142278,96929,306435,115415,121247,164166,98753,127321,102709,114873,315453,311996,380276,192199,39402,116551,113216,252444,87436,94407,249067,109545,72165,62729,348258,428323,427544,435519,103555,388940,79035,102008,414310,304945,104130,393824,685286,229527,145571,114998,161232,87231,140063,399793,215388,275375,132468,261224,110560,352398,35449,343413,115223,116300,112151,130771,589840,493089,109758,360538,301495,41703,455034,266396,77988,234591,368527,136870,300330,132560,351623,164469,73759,345060,350044,173980,375312,28976,85100,392144,120074,255273,382682,546520,283217,224420,126738,325582,353582,346812,277504,37989,399049,296832,431513,186093,600121,267326,158076,91236,367203,114544,137307,319011,329629,186089,315783,43126,347896,672516,428159,388701,95245,112013,713506,304034,206157,189133,306974,134217,408104,290531,504520,293104,176612,391553,708103,190756,62921,67260,336160,367284,403491,394312,249541,202000,71445,464369,89300,193645,45629,235995,486345,104116,240299,83302,394531,128914,334387,12053,277829,537988,226457,140849,40573,89443,265897,56673,388444,341383,250421,548767,184564,361926,291403,156883,37272,37836,118084,627045,52510,303855,384695,106246,410481,26017,53688,163415,283046,110725,19471,96583,419534,334289,169927,309135,104902,250803,331180,379096,65875,41881,316591,188979,131177,281785,143752,237997,20100,257382,328988,374143,87624,6156,267127,237777,67060,100415,222083,218889,119384,218827,161355,372114,322482,305970,229342,375183,234967,227201,478760,445137,228054,85097,45938,51441,209331,573484,325529,154898,312995,187176,37468,69037,108905,151978,441736,398898,14608
7,170437,329055,148785,305532,109535,,215842,346243,292431,177689,172095,68452,147590,74051,630422,44333,380355,437251,258883,198290,473397,377540,903093,167367,104430,120298,343903,69188,404809,447177,533466,13601,358725,298467,122362,461365,219682,114934,132201,557596,126297,298532,344082,196730,385406,383133,422133,94884,256408,150222,161314,193010,88207,99546,73562,565810,112474,573445,426566,197457,164932,272705,500634,468987,209588,303092,416355,210746,245808,117098,347742,444449,316623,63765,335369,236200,317316,419350,271883,467316,185830,319594,264076,170855,212304,333795,336400,34427,419244,503269,41531,96199,444164,110752,144118,356309,322953,361431,274869,405238,171112,233331,47081,128700,43435,304254,360090,72600,23035,642845,206385,312989,240956,382935,365741,119248,112522,368241,612668,749435,531335,385548,483751,410995,238355,213822,459734,38308,115350,130286,557552,358790,355448,27704,435240,825649,112601,420325,373620,334557,107030,81703,312672,111930,784690,315818,316069,457750,335532,238618,485636,145981,231577,41056,161380,545841,185625,602883,138023,331556,382617,281569,202152,261087,394415,181423,92928,704475,29156,422213,104303,218800,318300,401624,398305,142641,435995,98151,303058,95134,143017,182537,414518,327598,298472,108911,299470,231486,286119,146681,286476,248910,279003,122356,61065,355943,371017,36460,173959,518196,423636,62039,416686,62274,92781,94275,224215,518708,401331,151284,262079,139685,181773,393003,43485,32235,55991,53925,453235,191401,63684,141814,72539,417733,264056,68083,280519,136498,528472,256498,363840,855034,249990,19327,411772,68014,164511,247497,135445,54762,131052,178843,422315,417826,486377,283360,136188,156362,58168,313603,52910,104031,336027,163135,64392,172234,452959,534791,533075,541127,46421,494343,173195,23096,523845,382086,192045,496875,791991,334501,234633,13996,253307,23599,249551,502391,317813,384642,239168,369977,27741,460553,135903,443673,164654,146659,134868,150610,698471,601237,149691,468330,383934,92123,564355,359993,60158,315170,470549,113269,409268,110173,444655,199503,74900,401951,458930,282226,459919,136583,51418,494760,48755,348376,489589,653158,354311,331367,122268,427840,402748,454461,383895,100366,503442,401545,541012,270364,704382,339016,195233,197720,449891,49103,56973,378508,421756,295377,395960,152267,400834,780882,498247,491335,48555,14583,820875,395427,277511,279041,410964,186889,511708,397676,608027,367587,227972,475142,813087,295225,48835,52757,445354,445390,512572,475503,336414,311084,140935,548696,36344,270830,129291,341997,595804,200275,288292,91266,503532,20970,440326,117131,364469,647150,295465,80326,72486,34706,364145,161834,495620,378114,359081,651155,252897,450570,394247,262361,124450,141836,42777,726566,137603,406536,476480,115827,516930,122459,116667,265061,383896,141107,93607,13744,526718,415355,279447,348224,50117,305516,379941,486483,84116,114589,424757,231377,82915,385763,74404,347143,118671,357815,438516,479031,77285,111034,321263,347262,158332,209469,323052,263812,221424,317250,222878,481530,375545,363740,311109,462597,319555,318046,584697,552313,283002,71556,145184,59713,295836,672071,429263,259347,365184,296582,113288,111840,119595,212591,533940,487527,123830
8,299685,351571,183916,302788,168059,215842,,130483,110210,41172,87495,271010,68630,216216,598491,230635,381259,408332,270912,18965,294480,192824,871664,155138,258624,280170,345484,173592,349720,392116,493289,207023,338140,190352,261726,253512,108927,137596,132078,505584,97191,149702,128737,71007,216832,169001,410295,263675,106606,220286,76339,282511,256983,229239,188670,453219,105155,521367,320840,34112,233995,319102,311292,258674,303362,349067,206027,44725,293691,119154,372661,264995,104656,181008,175058,123664,104995,277007,338668,312833,175696,146727,182573,252975,156831,191533,122498,244869,270850,397513,254147,285939,423868,150299,170432,148100,267852,195388,146164,388619,267299,324761,221091,219245,175938,265799,246430,257668,238662,612411,277395,332959,312797,167569,358381,243243,231494,278930,574277,672921,475682,190609,409289,210622,207589,256479,271742,179255,228474,243297,497354,313785,140713,189900,237837,781620,262039,330442,164562,286271,280667,173577,105499,248406,753921,239162,217843,281143,348697,162682,288738,96796,179151,200195,150771,407792,131089,554114,263921,123602,250508,293139,168693,317363,181528,211908,298971,599794,196903,256425,175895,19383,287909,185994,394254,85550,370994,248081,358308,278946,106284,33332,300165,327371,86117,273183,324088,331033,198070,248061,281415,141824,69324,178726,263787,208088,335414,238981,42325,464569,246608,157522,408993,205167,291633,128678,137406,469464,189375,138085,49072,289883,158750,276244,244763,214207,257687,211741,420647,312644,271714,186228,200750,204304,48993,267192,114504,224657,454352,219819,150656,823941,170750,196587,270355,262670,52043,81606,81289,262983,270622,54970,289061,373007,341106,315222,197769,284039,256115,98590,162966,111974,371282,59155,224436,171320,411240,474321,479300,486262,242644,444462,110297,226656,418882,175159,250092,460260,717235,307567,92554,209101,288389,196506,194746,338898,180968,283965,227525,306225,236257,391730,191880,276616,281215,284351,81580,69603,607918,521385,66847,402413,183355,206570,468504,374051,156206,119680,441265,296758,336563,292452,257964,25551,142039,186309,380891,244624,257935,153967,229587,460531,255267,173054,429413,584334,143345,215795,291139,401588,189468,323429,339856,138114,458957,258226,430549,94937,649277,129389,24979,204886,245918,252012,269174,162671,234946,239465,191632,159265,186072,690644,283789,457291,168261,228095,739643,209549,74967,314795,377894,297943,470995,270109,561666,158833,12857,271281,749829,279177,179309,168379,334289,236788,392554,268956,148946,223362,236436,343595,179531,80095,210241,217341,479559,109553,74165,245827,419217,222348,298768,157388,172584,550218,87010,285145,166352,222697,362160,193152,432689,173397,253164,608569,335219,255088,369117,162080,202491,187901,250453,694460,117040,252978,285190,101416,457969,142967,221661,268621,369116,278783,181665,204285,461158,211026,214673,141246,245748,89710,166646,350051,227506,127779,302173,21687,280524,241214,283299,251298,185349,348307,340538,433704,138669,173764,105611,271805,220233,192498,316943,51158,236423,164993,27536,389522,160557,147912,361420,264490,362482,345455,524737,484945,67177,240035,198701,192201,337281,646014,395448,252759,150375,220606,131993,110461,97940,26892,340758,290159,163011
9,411952,417433,290824,363999,286757,346243,130483,,109218,169256,196913,399503,199075,340550,610434,358867,432027,438603,345785,148026,215614,130815,872376,255817,380337,401237,401666,300053,371831,407926,507733,337153,383358,217370,380216,136437,183842,258428,248377,511322,224370,160043,20283,170642,169720,44122,450376,387542,149836,328166,195592,385244,381313,349713,313444,419869,234720,525772,310991,152181,338655,400513,216833,136874,404696,426129,88220,145033,379718,243081,436888,190506,50856,307713,156753,185887,40635,243127,425787,259167,268546,128662,233203,358045,235991,186006,23847,374682,232124,375728,384075,412102,457462,270441,279058,66147,306797,159926,179153,428657,374261,422741,348815,332868,306352,315473,247847,384333,369000,624460,374774,400317,405222,37982,407828,360657,349509,291197,583689,651569,481673,110982,409566,114147,278750,347352,184236,309341,345707,358227,498347,348833,18779,320384,141325,777302,382543,331303,70812,325081,404310,297876,67538,367769,759023,271775,241644,207388,410348,226636,186175,216065,249524,328630,254108,357433,224940,558236,379156,62503,233751,363298,253724,403111,59577,308864,427479,562010,326473,201369,295339,130683,337096,55599,440661,210222,383101,370016,438252,404422,224066,163815,287249,385503,54046,395596,395036,431110,237324,359376,345741,195821,74013,293538,392462,189393,372262,368258,172694,472974,179412,287832,451581,331118,419105,256959,208624,480269,69289,246562,85619,408157,253161,266745,373770,343152,386389,338667,447205,421428,400906,295333,325316,85063,83758,395331,132008,336614,449795,283680,45258,826340,228496,326960,239011,390378,181860,133853,211113,392322,388248,173952,261417,398147,292316,390899,308641,397467,384438,34313,293407,242456,440647,185548,350275,269727,433227,477216,486198,491800,371244,457393,213368,356359,395167,73120,347886,480043,695144,354672,156737,339578,370038,326509,257249,271718,186140,286111,302029,330615,366050,398249,302756,215531,392049,400213,211997,198671,580015,506811,196728,409534,94472,327795,446716,432663,286414,84892,467544,421408,348915,417065,174695,149643,272049,58327,382382,300432,150696,266043,357088,481777,384543,135183,437175,573055,41810,225934,413274,434301,72644,291075,370735,262845,473877,228034,401175,120270,643497,44971,152645,294768,136581,380985,398937,32575,156361,285779,91337,265566,63114,658935,154638,478975,298744,358309,712230,139547,84266,392271,409645,405293,487142,252351,566824,57503,118273,159625,734172,338257,308131,297852,317561,119640,359674,153042,105502,253211,348135,226080,309909,101949,323318,218671,440945,197494,63289,368777,411181,352744,260970,275005,106720,521181,64042,413678,292972,351531,413979,295882,438212,89372,259153,613169,428722,158909,406884,209348,316589,297004,379930,701233,234324,213135,191093,231733,463480,260740,338247,340001,412869,395176,303128,334511,461869,106240,263491,68268,374174,41654,54557,308375,350598,250546,281602,117338,408090,214583,412462,265963,300936,398097,333338,450760,269138,291721,28475,296034,325678,275885,373787,86941,320686,162009,126731,379481,39891,19494,438843,162815,436478,414524,523639,482155,63329,365592,306977,318837,413929,658920,424363,322933,34061,259837,254308,238465,228182,136808,238767,186766,278263
10,319914,308330,199917,254826,207716,292431,110210,109218,,126839,121632,332423,162555,266167,513285,292606,323362,333831,238241,115948,187667,86934,781377,163336,299845,319048,292528,232584,268733,307529,408871,280739,275085,109559,295508,174248,86998,185041,170533,416203,166980,53445,124272,95784,106718,119578,343401,310166,46155,235752,131272,287161,305004,268859,241525,347231,183309,431384,221218,104085,243427,293658,209819,185001,305311,318170,135703,85972,274409,176422,327697,157987,130535,240252,66712,82508,69570,168657,320130,202652,170189,36727,124195,262319,133740,89060,85986,314329,161569,294496,324078,338299,351982,194797,190464,168019,198717,85244,69938,321541,279266,321259,281521,245143,260125,206384,150193,312699,313233,527344,274074,291354,301680,128358,299194,275518,265578,190082,487455,572131,386179,93249,315994,119822,171768,244488,169042,254164,261066,270559,405363,241969,102938,270935,142923,688547,300279,236183,177339,217238,325936,226212,144634,284633,665566,164228,135311,173390,301135,119988,193206,147026,143408,264610,163711,298242,131642,464219,290945,152925,146204,254816,152614,297354,123395,210326,359521,493539,267125,146369,216537,125581,228137,146644,332562,150354,283822,290280,330721,329429,151669,132740,198773,276294,65483,315560,286430,330501,128332,268321,236794,88684,58659,209527,326277,101423,265289,305437,141928,376321,138491,244262,344148,260450,348268,198183,105818,382655,126298,161194,74810,322208,156942,175656,309578,280153,320534,269810,343577,326377,336432,205877,252241,192465,101684,327253,23228,247152,359173,175275,152854,734387,120455,273667,162398,321208,140997,45016,164434,328815,302240,116311,182411,294436,231345,282992,219802,306894,317361,83547,243372,198324,331698,134721,278326,174501,330915,383122,390336,396605,305648,358681,128695,296171,315461,98811,248206,378940,616355,245993,62292,289776,263653,269704,149163,229123,83622,189308,195210,226167,305942,301574,214307,166824,299412,311899,174085,170119,504544,422353,152938,312740,93804,249175,366253,323489,233847,29148,364180,344245,248990,339970,154311,135552,219118,161052,287835,191246,168539,181756,288768,380176,321049,63160,340431,487137,85290,123483,332210,328852,181240,216218,265095,195204,374534,150247,325469,22139,554946,70948,133524,193402,159727,316367,337360,134575,131054,176724,108204,176288,169998,586440,223882,377199,250730,301624,636980,104679,43182,284674,304211,309636,387444,166062,472383,89791,100068,184416,651578,229072,246743,239871,232128,159887,286115,186646,44077,145810,257898,257725,257671,30256,235599,119837,372462,105301,109849,290656,322009,304536,190052,195716,72043,446163,52257,346245,226421,287686,305148,201595,342486,194427,159741,519274,325206,158149,300046,100471,230257,207429,317555,606780,159621,143293,184855,192773,368029,183122,253271,231921,305001,307581,226492,279092,368682,126574,154273,166488,307861,98091,163723,241290,273562,180997,197964,116651,337875,133609,347468,163237,217186,289384,242503,350376,221777,211358,107876,190974,231594,172740,264588,111716,216139,61744,85532,291020,148871,127105,330856,170246,328008,305640,431903,390929,89465,292315,216067,250461,305992,561625,319831,214878,143124,151123,183589,181121,190344,93061,242167,195096,196004
